seq_id	insertion_date	mcl_clust	ap_clust
488	1369230	mcl_26	ap_clust_3148
489	0	mcl_6	ap_clust_4039
490	238461	mcl_4	ap_clust_10201
491	119230	mcl_1	ap_clust_2799
492	865384	mcl_8	ap_clust_13250
493	442307	mcl_6	ap_clust_9013
494	1838461	mcl_10	ap_clust_12218
495	65384	mcl_6	ap_clust_7049
496	180769	mcl_4	ap_clust_407
497	730769	mcl_2	ap_clust_7083
498	3246153	mcl_8	ap_clust_3542
499	361538	mcl_2	ap_clust_1137
500	869230	mcl_21	ap_clust_9976
501	392307	mcl_14	ap_clust_9266
502	738461	mcl_1	ap_clust_9488
503	0	mcl_12	ap_clust_4372
504	161538	mcl_24	ap_clust_6228
505	50000	mcl_28	ap_clust_4599
506	176923	mcl_1	ap_clust_10832
507	442307	mcl_20	ap_clust_12495
508	938461	mcl_9	ap_clust_3106
509	696153	mcl_5	ap_clust_6751
510	1965384	mcl_10	ap_clust_10865
511	130769	mcl_6	ap_clust_4039
512	1884615	mcl_2	ap_clust_1792
513	2057692	mcl_15	ap_clust_13067
514	269230	mcl_34	ap_clust_7774
515	2165384	mcl_10	ap_clust_11708
516	11538	mcl_5	ap_clust_6986
517	280769	mcl_5	ap_clust_6751
518	265384	mcl_1	ap_clust_6936
519	2580769	mcl_5	ap_clust_7095
520	100000	mcl_19	ap_clust_9765
521	1407692	mcl_1	ap_clust_11215
522	0	mcl_119	ap_clust_9422
523	4096153	mcl_17	ap_clust_7495
524	830769	mcl_2	ap_clust_10772
525	88461	mcl_5	ap_clust_6986
526	1826923	mcl_34	ap_clust_4629
527	2542307	mcl_37	ap_clust_11290
528	1534615	mcl_1	ap_clust_3665
529	119230	mcl_18	ap_clust_8623
530	1623076	mcl_2	ap_clust_1792
531	88461	mcl_1	ap_clust_6936
532	819230	mcl_9	ap_clust_9527
533	388461	mcl_35	ap_clust_415
534	196153	mcl_5	ap_clust_6986
535	0	mcl_18	ap_clust_8623
536	2373076	mcl_2	ap_clust_5727
537	834615	mcl_8	ap_clust_13250
538	88461	mcl_1	ap_clust_3526
539	65384	mcl_6	ap_clust_7049
540	834615	mcl_1	ap_clust_7443
541	280769	mcl_45	ap_clust_2893
542	280769	mcl_20	ap_clust_6206
543	2588461	mcl_3	ap_clust_12415
544	61538	mcl_4	ap_clust_10201
545	411538	mcl_9	ap_clust_4706
546	369230	mcl_2	ap_clust_5474
547	423076	mcl_38	ap_clust_1508
548	673076	mcl_17	ap_clust_4839
549	0	mcl_36	ap_clust_13126
550	726923	mcl_8	ap_clust_4652
551	219230	mcl_2	ap_clust_1137
552	223076	mcl_16	ap_clust_1556
553	188461	mcl_1	ap_clust_13156
554	1207692	mcl_10	ap_clust_6452
555	2230769	mcl_54	ap_clust_5634
556	1115384	mcl_39	ap_clust_556
557	446153	mcl_17	ap_clust_4839
558	261538	mcl_6	ap_clust_9266
559	1826923	mcl_15	ap_clust_9876
560	119230	mcl_25	ap_clust_9091
561	0	mcl_12	ap_clust_3502
562	1219230	mcl_8	ap_clust_13250
563	57692	mcl_4	ap_clust_10201
564	1150000	mcl_33	ap_clust_5975
565	0	mcl_12	ap_clust_9705
566	453846	mcl_2	ap_clust_5474
567	92307	mcl_1	ap_clust_10832
568	2519230	mcl_8	ap_clust_13250
569	1096153	mcl_2	ap_clust_5727
570	6553846	mcl_69	ap_clust_12032
571	457692	mcl_11	ap_clust_7588
572	0	mcl_7	ap_clust_12729
573	430769	mcl_20	ap_clust_12495
574	65384	mcl_18	ap_clust_8623
575	46153	mcl_5	ap_clust_6751
576	665384	mcl_28	ap_clust_4599
577	1669230	mcl_151	ap_clust_577
578	492307	mcl_5	ap_clust_6751
579	323076	mcl_14	ap_clust_4160
580	2561538	mcl_380	ap_clust_0
581	150000	mcl_86	ap_clust_8207
582	669230	mcl_31	ap_clust_10304
583	0	mcl_43	ap_clust_11397
584	0	mcl_44	ap_clust_584
585	0	mcl_23	ap_clust_5479
586	476923	mcl_2	ap_clust_5474
587	442307	mcl_11	ap_clust_8560
588	2015384	mcl_15	ap_clust_11478
589	2284615	mcl_5	ap_clust_6986
590	300000	mcl_2	ap_clust_1137
591	65384	mcl_6	ap_clust_7049
592	176923	mcl_48	ap_clust_2701
593	7130769	mcl_48	ap_clust_2701
594	1150000	mcl_2	ap_clust_5727
595	0	mcl_18	ap_clust_8623
